,file_id,user_id,subforum_id,num_contexts,hate,text,train,test
0,12834217_1,572066,1346,0,False,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",False,False
1,12834217_2,572066,1346,0,False,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",True,False
2,12834217_3,572066,1346,0,False,( Simply copy and paste the following text into your YouTube videos description boxes. ),False,False
3,12834217_4,572066,1346,0,True,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,True,False
4,12834217_5,572066,1346,0,False,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,False,False
5,12834217_6,572066,1346,0,False,"Booklet updated on Feb. 14th , 2014 .",False,False
6,12834217_7,572066,1346,0,False,"( Now with over 18,300 Downloads. )",False,False
7,12834217_8,572066,1346,0,False,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,False,False
8,12834217_9,572066,1346,0,False,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,False,False
9,12834217_10,572066,1346,0,False,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,False,False
10,12834493_1,572058,1396,0,True,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",True,False
11,12843221_1,575003,1396,0,False,Thank you for the info. i will deffinetly look into them .,False,False
12,12843221_2,575003,1396,0,False,I hope there is room for one more as i am very excited about this .,False,False
13,12845600_1,575437,1396,0,False,I just came across this piece of garbage .,False,False
14,12845600_2,575437,1396,0,False,Comments say she is from SA .,False,False
15,12845600_3,575437,1396,0,False,Warning : Graphic .,False,False
